brew_id,potion_sku,shop_id,cauldron_id,brewed_at,batch_size,brew_duration_minutes,quality_check,brewer_name
BRW-00001,POT-0047,SHP-04,CDR-36,2025-03-27 05:15:40,23,96,pass,Oleander Ravenscroft
BRW-00002,POT-0009,SHP-04,CDR-38,2025-09-24T08:13:16Z,20,88,pass,Oswin Wyrmwood
BRW-00003,POT-0082,SHP-05,CDR-40,2026-01-10 06:56:07,31,58,pass,Grizelda Duskwater
BRW-00004,POT-0036,SHP-11,CDR-40,2025-06-20 10:29:22,51,98,pass,Delphine Mossheart
BRW-00005,POT-0090,SHP-03,CDR-34,2025-06-09 05:27:06,27,87,Pass,Delphine Mossheart
BRW-00006,POT-0111,SHP-01,CDR-27,2026-02-22T11:45:57Z,26,72,pass,Hesper Cinderfell
BRW-00007,POT-0060,SHP-08,CDR-17,2026-03-12T11:37:34Z,37,130,pass,Hesper Cinderfell
BRW-00008,POT-0014,SHP-08,CDR-08,2025-12-04T05:11:54Z,16,55,Pass,Thaddeus Frostpetal
BRW-00009,POT-0104,SHP-10,CDR-28,2026-03-17 11:54:58,52,150,fail,Delphine Mossheart
BRW-00010,POT-0020,SHP-07,CDR-24,2025-07-13T07:38:45Z,40,135,pass,Delphine Mossheart
BRW-00011,POT-0002,SHP-04,CDR-36,2026-02-12T11:45:56Z,47,93,pass,Belladonna Jackdaw
BRW-00012,POT-0066,SHP-15,CDR-25,2026-02-22 05:23:58,21,94,pass,Delphine Mossheart
BRW-00013,POT-0054,SHP-13,CDR-25,2026-02-10 08:28:02,59,23,pass,Juniper Hollowbranch
BRW-00014,POT-0120,SHP-12,CDR-26,2024-09-20 09:47:41,36,113,Pass,Nimbus Glimmerstone
BRW-00015,POT-0069,SHP-06,CDR-07,2026-06-08T09:29:02Z,31,117,pass,Umbra Thistledown
BRW-00016,POT-0044,SHP-09,CDR-13,2025-04-08T10:20:46Z,49,61,pass,Oleander Ravenscroft
BRW-00017,POT-0032,SHP-09,CDR-25,2026-04-30T06:04:28Z,11,127,fail,Ambrose Winterbourne
BRW-00018,POT-0089,SHP-15,CDR-38,2025-01-21 09:49:25,37,104,pass,Ambrose Fernwhistle
BRW-00019,POT-0109,SHP-08,CDR-31,2025-10-11T06:01:01Z,30,100,pass,Grizelda Kilnworth
BRW-00020,POT-0111,SHP-02,CDR-39,2026-06-23T11:16:01Z,17,64,pass,Oleander Ravenscroft
BRW-00021,POT-0019,SHP-06,CDR-13,2025-05-20T08:55:29Z,51,91,pass,Morwenna Wandwright
BRW-00022,POT-0022,SHP-13,CDR-29,2024-07-15T08:09:40Z,20,152,Pass,Dorian Glimmerstone
BRW-00023,POT-0082,SHP-02,CDR-35,2025-01-23 06:15:11,57,43,FAIL,Hesper Foxglove
BRW-00024,POT-0006,SHP-01,CDR-38,2026-03-11T11:25:32Z,57,,pass,Yarrow Ravenscroft
BRW-00025,POT-0117,SHP-02,CDR-04,2026-01-24T11:11:26Z,45,87,PASS,Delphine Mossheart
BRW-00026,POT-0105,SHP-10,CDR-26,2025-11-07T05:51:33Z,16,146,Pass,Zephyrine Zellandine
BRW-00027,POT-0027,SHP-14,CDR-16,2026-03-06T06:22:34Z,55,112,pass,Oleander Ravenscroft
BRW-00028,POT-0058,SHP-14,CDR-21,2025-11-04T09:07:13Z,49,120,pass,Gideon Moonbrook
BRW-00029,POT-0115,SHP-11,CDR-19,2024-07-10T06:18:38Z,38,103,pass,Gideon Moonbrook
BRW-00030,POT-0027,SHP-08,CDR-26,2025-04-06T08:18:39Z,14,75,pass,Belladonna Jackdaw
BRW-00031,POT-0058,SHP-01,CDR-31,2024-06-29 11:08:45,20,98,Pass,Delphine Zellandine
BRW-00032,POT-0065,SHP-02,CDR-02,2026-01-01 09:27:11,24,39,pass,Dorian Mistlethorn
BRW-00033,POT-0120,SHP-02,CDR-36,2024-12-10T06:43:47Z,37,74,pass,Belladonna Jackdaw
BRW-00034,POT-0047,SHP-06,CDR-25,2025-09-02 11:56:24,57,124,pass,Delphine Zellandine
BRW-00035,POT-0103,SHP-12,CDR-14,2025-07-17T09:10:42Z,23,,pass,Hesper Foxglove
BRW-00036,POT-0096,SHP-05,CDR-15,2026-01-04T09:14:06Z,21,135,Pass,Wendeline Ashgrove
BRW-00037,POT-0068,SHP-11,CDR-21,2025-07-04T10:48:57Z,27,73,pass,Oswin Wyrmwood
BRW-00038,POT-0048,SHP-12,CDR-18,2025-05-11T11:18:18Z,26,128,pass,Gideon Moonbrook
BRW-00039,POT-0035,SHP-03,CDR-12,2025-12-17 05:27:40,26,77,pass,Oswin Wyrmwood
BRW-00040,POT-0112,SHP-02,CDR-18,2025-11-11 09:12:03,35,89,Pass,Hesper Foxglove
BRW-00041,POT-0030,SHP-12,CDR-31,2025-12-20 06:36:20,11,72,pass,Grizelda Duskwater
BRW-00042,POT-0076,SHP-10,CDR-25,2025-11-03 11:00:59,40,55,pass,Grizelda Duskwater
BRW-00043,POT-0069,SHP-02,CDR-29,2024-08-12T07:29:51Z,22,115,pass,Grizelda Duskwater
BRW-00044,POT-0100,SHP-01,CDR-32,2025-01-25 08:44:17,57,106,Pass,Wendeline Ashgrove
BRW-00045,POT-0081,SHP-15,CDR-07,2025-07-13 05:40:31,44,94,Pass,Gideon Thistledown
BRW-00046,POT-0013,SHP-05,CDR-09,2026-06-10T06:28:14Z,41,107,pass,Gideon Moonbrook
BRW-00047,POT-0085,SHP-15,CDR-21,2026-01-24T09:21:41Z,57,116,pass,Ambrose Winterbourne
BRW-00048,POT-0010,SHP-01,CDR-25,2026-03-27T06:51:09Z,21,126,pass,Grizelda Duskwater
BRW-00049,POT-0053,SHP-09,CDR-22,2025-06-25T10:21:42Z,21,93,pass,Ambrose Fernwhistle
BRW-00050,POT-0033,SHP-04,CDR-09,2025-08-21T06:17:39Z,36,102,pass,Morwenna Wandwright
BRW-00051,POT-0019,SHP-01,CDR-04,2025-12-02T06:40:10Z,13,99,pass,Delphine Zellandine
BRW-00052,POT-0020,SHP-07,CDR-14,2025-09-12T05:28:43Z,55,108,pass,Nimbus Glimmerstone
BRW-00053,POT-0024,SHP-05,CDR-17,2025-02-08 08:44:48,16,121,pass,Vesper Emberwhisk
BRW-00054,POT-0100,SHP-02,CDR-10,2024-06-25T05:29:43Z,48,114,Pass,Hesper Cinderfell
BRW-00055,POT-0106,SHP-10,CDR-07,2026-03-04 09:53:40,58,100,pass,Hesper Foxglove
