customer_id,full_name,email,home_region,signed_up_at,birth_year,favored_discipline
WIZ-00001,Zephyrine Gorsebush,zephyrine.gorsebush179@ravenpost.net,Crystal Vale,2023-11-03,1956,Enchantment
WIZ-00002,Grizelda Ravenscroft,grizelda.ravenscroft228@owlmail.co,NR,2023-03-05,1972,ENCHANTMENT
WIZ-00003,Maribel Duskwater,maribel.duskwater67@owlmail.co,CV,2024-09-15,1901,HEALING
WIZ-00004,Vesper Ashgrove,vesper.ashgrove947@moonmail.net,Ember Coast,2024-04-17,1948,Healing
WIZ-00005,Wendeline Winterbourne,wendeline.winterbourne905@owlmail.co,nr,2025-04-08,1916,Enchantment
WIZ-00006,Juniper Everbright,juniper.everbright430@owlmail.co,Silverwood,2023-10-14,1916,ENCHANTMENT
WIZ-00007,Bramble Wyrmwood,bramble.wyrmwood801@grimoire.org,ec,2025-07-03,1926,Transmutation
WIZ-00008,Oleander Mossheart,oleander.mossheart484@moonmail.net,ec,2023-10-15,1914,Divination
WIZ-00009,Rowan Ironquill,rowan.ironquill971@owlmail.co,silverwood,2024-08-27,1934,ALCHEMY
WIZ-00010,Lyra Stormbottle,lyra.stormbottle715@crystalball.io,CV,2023-11-22,1974,ALCHEMY
WIZ-00011,Corvin Copperkettle,corvin.copperkettle180@grimoire.org,NR,2025-11-17,1962,Divination
WIZ-00012,Vesper Netherfield,vesper.netherfield182@crystalball.io,NR,2023-05-14,1975,Divination
WIZ-00013,Xanthe Wandwright,xanthe.wandwright345@crystalball.io,ember coast,2024-02-10,1978,Transmutation
WIZ-00014,Umbra Stormbottle,umbra.stormbottle952@moonmail.net,ML,2026-01-27,1960,Illusion
WIZ-00015,Seraphine Ravenscroft,seraphine.ravenscroft972@moonmail.net,ember coast,2023-01-02,1957,Healing
WIZ-00016,Petra Mossheart,petra.mossheart145@crystalball.io,ML,2024-10-15,1925,Divination
WIZ-00017,Vesper Crowfeather,vesper.crowfeather70@crystalball.io,NR,2023-08-03,1885,Healing
WIZ-00018,Kestrel Zellandine,kestrel.zellandine385@ravenpost.net,The Marshlands,2025-07-23,1958,Enchantment
WIZ-00019,Caspian Wandwright,caspian.wandwright327@crystalball.io,CV,2024-08-04,1906,Transmutation
WIZ-00020,Fenwick Tanglewood,fenwick.tanglewood722@ravenpost.net,ec,2026-03-21,1962,Transmutation
WIZ-00021,Nimbus Copperkettle,nimbus.copperkettle748@moonmail.net,NR,2026-01-19,1915,Healing
WIZ-00022,Fiora Foxglove,fiora.foxglove302@moonmail.net,EC,2023-01-04,1911,Divination
WIZ-00023,Edric Ashgrove,edric.ashgrove917@crystalball.io,nr,2024-02-12,1908,Alchemy
WIZ-00024,Caspian Moonbrook,caspian.moonbrook858@crystalball.io,SW,2024-04-21,1974,Enchantment
WIZ-00025,Ignatius Zellandine,ignatius.zellandine63@grimoire.org,ML,2026-02-24,1953,Enchantment
WIZ-00026,Peregrine Everbright,peregrine.everbright732@ravenpost.net,ember coast,2024-02-09,1987,Herbalism
WIZ-00027,Hawthorne Crowfeather,hawthorne.crowfeather828@owlmail.co,NR,2023-06-21,1972,Transmutation
WIZ-00028,Jasper Mistlethorn,jasper.mistlethorn570@grimoire.org,Silverwood,2023-03-10,1951,TRANSMUTATION
WIZ-00029,Petra Larkspur,petra.larkspur154@owlmail.co,sw,2025-09-03,2005,HEALING
WIZ-00030,Grizelda Owlsworth,grizelda.owlsworth271@grimoire.org,sw,2025-06-18,1945,Healing
WIZ-00031,Petra Mistlethorn,petra.mistlethorn911@crystalball.io,SW,2025-08-16,1945,Alchemy
WIZ-00032,Thaddeus Quickbramble,thaddeus.quickbramble702@ravenpost.net,CV,2024-05-18,1923,Enchantment
WIZ-00033,Rowan Zellandine,rowan.zellandine217@grimoire.org,The Marshlands,2024-09-30,1996,Alchemy
WIZ-00034,Kestrel Wandwright,kestrel.wandwright800@moonmail.net,CV,2024-06-02,1909,Illusion
WIZ-00035,Cassia Dimbleby,cassia.dimbleby281@crystalball.io,ml,2024-01-05,1966,Healing
WIZ-00036,Fiora Mistlethorn,fiora.mistlethorn359@crystalball.io,Northern Reaches,2025-10-29,1980,Illusion
WIZ-00037,Yarrow Cinderfell,yarrow.cinderfell663@owlmail.co,SW,2023-08-08,1937,Herbalism
WIZ-00038,Alaric Everbright,alaric.everbright821@ravenpost.net,nr,2026-04-24,2005,Alchemy
WIZ-00039,Rowan Barrowmere,rowan.barrowmere224@grimoire.org,ec,2025-06-23,1964,Transmutation
WIZ-00040,Xanthe Jackdaw,xanthe.jackdaw701@ravenpost.net,EC,2026-03-16,1920,Enchantment
WIZ-00041,Thaddeus Copperkettle,thaddeus.copperkettle825@moonmail.net,EC,2023-09-04,1902,Enchantment
WIZ-00042,Seraphine Duskwater,seraphine.duskwater37@moonmail.net,sw,2025-08-19,1909,Alchemy
WIZ-00043,Ignatius Everbright,ignatius.everbright308@owlmail.co,The Marshlands,2026-05-19,1908,Alchemy
WIZ-00044,Quilla Jackdaw,quilla.jackdaw922@crystalball.io,SW,2025-01-04,1913,Enchantment
WIZ-00045,Vesper Vexley,vesper.vexley121@grimoire.org,nr,2023-10-29,1959,Herbalism
WIZ-00046,Gideon Ashgrove,gideon.ashgrove424@ravenpost.net,CV,2025-07-26,1910,Alchemy
WIZ-00047,Delphine Foxglove,delphine.foxglove500@crystalball.io,SW,2023-07-04,1966,Healing
WIZ-00048,Kestrel Kilnworth,kestrel.kilnworth799@ravenpost.net,NR,2025-11-14,1939,Transmutation
WIZ-00049,Alaric Moonbrook,alaric.moonbrook914@crystalball.io,ml,2025-07-18,1887,Enchantment
WIZ-00050,Oswin Umberfall,oswin.umberfall603@crystalball.io,Northern Reaches,2023-04-16,1923,Alchemy
WIZ-00051,Hesper Tanglewood,hesper.tanglewood351@grimoire.org,EC,2026-06-04,2006,Illusion
WIZ-00052,Isolde Winterbourne,isolde.winterbourne127@crystalball.io,The Marshlands,2026-02-24,1933,Enchantment
WIZ-00053,Dorian Mistlethorn,dorian.mistlethorn857@ravenpost.net,NR,2026-05-09,1941,Transmutation
WIZ-00054,Jasper Winterbourne,,EC,2026-04-07,1951,Alchemy
WIZ-00055,Ambrose Nightbloom,ambrose.nightbloom117@ravenpost.net,ec,2026-03-25,1984,Alchemy
WIZ-00056,Wendeline Zellandine,wendeline.zellandine933@owlmail.co,sw,2023-02-10,1915,Healing
WIZ-00057,Hawthorne Kilnworth,hawthorne.kilnworth799@moonmail.net,Northern Reaches,2024-11-30,2000,Alchemy
WIZ-00058,Seraphine Duskwater,seraphine.duskwater896@ravenpost.net,ML,2024-10-11,1971,Alchemy
WIZ-00059,Cassia Thistledown,cassia.thistledown337@crystalball.io,crystal vale,2026-05-11,1919,Enchantment
WIZ-00060,Lyra Ashgrove,lyra.ashgrove395@grimoire.org,ml,2025-10-11,1987,Divination
WIZ-00061,Dorian Hollowbranch,dorian.hollowbranch695@grimoire.org,NR,2024-05-09,1930,Herbalism
WIZ-00062,Isolde Everbright,isolde.everbright452@ravenpost.net,nr,2024-10-24,1886,Enchantment
WIZ-00063,Corvin Kilnworth,corvin.kilnworth705@moonmail.net,nr,2023-12-13,1916,Transmutation
WIZ-00064,Yarrow Foxglove,yarrow.foxglove628@ravenpost.net,northern reaches,2026-01-23,1949,Illusion
WIZ-00065,Kestrel Wandwright,kestrel.wandwright994@crystalball.io,NR,2025-05-25,1967,Transmutation
WIZ-00066,Delphine Crowfeather,delphine.crowfeather511@grimoire.org,ember coast,2025-10-02,1980,Enchantment
WIZ-00067,Cassia Jackdaw,cassia.jackdaw987@moonmail.net,Silverwood,2024-10-02,1956,Divination
WIZ-00068,Vesper Vexley,vesper.vexley340@moonmail.net,ml,2025-02-14,1976,Enchantment
WIZ-00069,Grizelda Mossheart,grizelda.mossheart988@crystalball.io,SW,2023-12-30,1898,Healing
WIZ-00070,Ambrose Nightbloom,ambrose.nightbloom953@grimoire.org,Northern Reaches,2023-07-20,1909,Enchantment
WIZ-00071,Cassia Larkspur,cassia.larkspur604@moonmail.net,nr,2024-04-06,1952,Enchantment
WIZ-00072,Maribel Everbright,maribel.everbright178@owlmail.co,nr,2024-12-29,1962,Alchemy
WIZ-00073,Oleander Fernwhistle,oleander.fernwhistle464@owlmail.co,nr,2023-12-18,1998,Enchantment
WIZ-00074,Juniper Saltmarsh,juniper.saltmarsh206@owlmail.co,SW,2026-01-18,1929,Enchantment
WIZ-00075,Lyra Gorsebush,lyra.gorsebush119@crystalball.io,sw,2026-04-14,2005,Enchantment
WIZ-00076,Ignatius Owlsworth,ignatius.owlsworth536@ravenpost.net,NR,2025-09-06,1970,Healing
WIZ-00077,Kestrel Owlsworth,kestrel.owlsworth708@crystalball.io,nr,2024-11-27,1930,Illusion
WIZ-00078,Juniper Mossheart,juniper.mossheart524@crystalball.io,SW,2026-01-26,1933,Transmutation
WIZ-00079,Umbra Jackdaw,umbra.jackdaw890@grimoire.org,the marshlands,2023-09-15,1975,Enchantment
WIZ-00080,Ignatius Mistlethorn,ignatius.mistlethorn182@ravenpost.net,NR,2023-07-18,1950,Healing
WIZ-00081,Juniper Duskwater,,ember coast,2023-09-19,1890,DIVINATION
WIZ-00082,Petra Quickbramble,petra.quickbramble75@crystalball.io,silverwood,2026-02-07,1951,Healing
WIZ-00083,Ignatius Ironquill,ignatius.ironquill219@crystalball.io,EC,2025-06-23,2006,Illusion
WIZ-00084,Juniper Thistledown,juniper.thistledown927@moonmail.net,CV,2023-12-21,1890,Enchantment
WIZ-00085,Hawthorne Wyrmwood,hawthorne.wyrmwood530@crystalball.io,sw,2023-10-17,1947,Healing
WIZ-00086,Umbra Gorsebush,umbra.gorsebush980@moonmail.net,sw,2023-04-09,1911,Enchantment
WIZ-00087,Belladonna Nightbloom,belladonna.nightbloom963@ravenpost.net,ML,2024-03-21,1943,Enchantment
WIZ-00088,Dorian Stormbottle,dorian.stormbottle842@owlmail.co,CV,2026-01-23,1942,Enchantment
WIZ-00089,Yarrow Ashgrove,yarrow.ashgrove65@moonmail.net,Northern Reaches,2026-04-18,1930,Herbalism
WIZ-00090,Thaddeus Mistlethorn,thaddeus.mistlethorn842@ravenpost.net,ec,2024-03-24,1902,Enchantment
WIZ-00091,Ignatius Owlsworth,ignatius.owlsworth909@crystalball.io,CV,2024-11-25,1996,Herbalism
WIZ-00092,Corvin Mistlethorn,corvin.mistlethorn767@crystalball.io,northern reaches,2023-03-29,1993,Herbalism
WIZ-00093,Petra Duskwater,petra.duskwater581@ravenpost.net,the marshlands,2023-07-05,1955,Transmutation
